'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Header 1,"'Programming and Data Structures",'0,'41.40625000
'1,'Text 1,"'Release 0.3",'1,'48.82812500
'1,'Text 2,"'Amir Kamil",'2,'82.61718750
'1,'Footer 1,"'Sep 08, 2024",'3,'51.46484375
'2,'Header 2,"'CONTENTS",'4,'44.84863281
'2,'Text 3,"'I Foundations",'5,'45.60546875
'2,'Text 4,"'2",'6,'96.53320313
'2,'Text 5,"'1 Introduction",'7,'53.71093750
'2,'Text 6,"'3",'8,'96.28906250
'2,'Text 7,"'2 C++ Fundamentals",'9,'63.76953125
'2,'Text 8,"'3 Types",'10,'63.62304688
'2,'Text 9,"'4",'11,'97.65625000
'2,'Text 10,"'9",'12,'97.55859375
'2,'Text 11,"'3.1 Arithmetic and Comparisons",'13,'84.71679688
'2,'Text 12,"'10",'14,'98.24218750
'2,'Text 13,"'3.2 Library Types",'15,'79.73632813
'2,'Text 14,"'12",'16,'98.43750000
'2,'Text 15,"'4 Control Structures",'17,'77.34375000
'2,'Text 16,"'15",'18,'97.85156250
'2,'Text 17,"'5 Procedural Abstraction",'19,'48.04687500
'2,'Text 18,"'18",'20,'97.26562500
'2,'Text 19,"'5.1 Code Organization in C++",'21,'81.10351563
'2,'Text 20,"'19",'22,'97.02148438
'2,'Text 21,"'5.2 The Compilation Process",'23,'74.75585938
'2,'Text 22,"'21",'24,'97.41210938
'2,'Text 23,"'5.3 Specification Comments (RMEs)",'25,'90.08789063
'2,'Text 24,"'21",'26,'97.07031250
'2,'Text 25,"'5.4 Properties of Procedural Abstraction",'27,'89.25781250
'2,'Text 26,"'23",'28,'96.97265625
'2,'Text 27,"'6 Testing",'29,'82.42187500
'2,'Text 28,"'24",'30,'96.82617188
'2,'Text 29,"'7 Machine Model I",'31,'72.55859375
'2,'Text 30,"'7.1 Pointers",'32,'86.03515625
'2,'Text 31,"'26",'33,'95.75195313
'2,'Text 32,"'30",'34,'95.16601563
'2,'Text 33,"'8 Machine Model II",'35,'75.34179688
'2,'Text 34,"'8.1 Pointer Errors",'36,'88.18359375
'2,'Text 35,"'34",'37,'94.82421875
'2,'Text 36,"'8.2 Function Calls and the Call Stack",'38,'89.45312500
'2,'Text 37,"'34",'39,'94.48242188
'2,'Section header 1,"'II Data Abstraction",'40,'46.19140625
'2,'Text 38,"'37",'41,'94.38476563
'2,'Text 39,"'9 The const Keyword",'42,'69.43359375
'2,'Text 40,"'42",'43,'94.58007813
'2,'Text 41,"'9.1 References and const",'44,'91.74804688
'2,'Text 42,"'43",'45,'93.84765625
'2,'Text 43,"'9.2 Pointers and const",'46,'74.75585938
'2,'Text 44,"'44",'47,'93.55468750
'2,'Text 45,"'9.3 const Conversions",'48,'81.44531250
