'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Header 1,"'9/28/24, 1:35 PM",'0,'94.23828125
'1,'Header 2,"'p3-euchre",'1,'78.07617188
'1,'Header 3,"'p3-euchre",'2,'55.66406250
'1,'Title 1,"'EECS 280 Project 3: Euchre",'3,'62.06054688
'1,'Text 1,"'Fall 2024 release.",'4,'89.11132813
'1,'Text 2,"'Checkpoint due 8:00pm EST Wednesday October 9, 2024. See Submission and Grading / Checkpoint.",'5,'93.55468750
'1,'Text 3,"'Full project due 8:00pm EST Wednesday October 23, 2024.",'6,'89.64843750
'1,'Text 4,"'You may work alone or with a partner (partnership guidelines). If you work alone, you must work alone on both the checkpoint and the full project. If you work with a partner, you must work with the same partner on the checkpoint and the full project. You may not work alone on the checkpoint and then add a partner for the full project.",'7,'96.09375000
'1,'Section header 1,"'Introduction",'8,'90.91796875
'1,'Text 5,"'Euchre (pronounced ""YOO-kur"") is a card game popular in Michigan.",'9,'94.18945313
'1,'Text 6,"'The learning goals of this project include Abstract Data Types in C++, Derived Classes, Inheritance, and Polymorphism. You'll gain practice with C++-style Object Oriented Programming (OOP) with classes and virtual functions.",'10,'96.09375000
'1,'Text 7,"'When you're done, you'll have a program that simulates a game of Euchre, supporting a AI player and a Human player.",'11,'93.84765625
'1,'Text 8,"'$ /euchre.exe pack. in noshuffle 3 Ivan Human Judea Simple Kunle Simple Liskov Simple Hand 0 Ivan deals Jack of Diamonds turned up Judea passes Kunle passes Liskov passes Human player Ivan's hand: [0] Nine of Diamonds Human player Ivan's hand: [1] Ten of Diamonds Human player Ivan's hand: [2] Jack of Hearts Human player Ivan's hand: [3] Queen of Hearts Human player Ivan's hand: [4] Ace of Clubs Human player Ivan, please enter a suit, or ""pass"":",'12,'52.53906250
'1,'Footer 1,"'file:///home/runner/work/p3-euchre/p3-euchre/_site/index.htm",'13,'73.63281250
'1,'Page number 1,"'1/31",'14,'65.67382813
'2,'Header 4,"'9/28/24, 1:35 PM",'15,'84.03320313
'2,'Header 5,"'p3-euchre",'16,'69.58007813
'2,'Header 6,"'Diamonds Ivan orders up Diamonds",'17,'68.01757813
'2,'Title 2,"'Setup",'18,'46.48437500
'2,'Text 9,"'Set up your visual debugger and version control, then submit to the autograder.",'19,'94.43359375
'2,'Section header 2,"'Visual debugger",'20,'79.73632813
'2,'Text 10,"'During setup, name your project p3-euchre. Use this starter files link: https://eecs280staff.github.io/p3-euchre/starter-files.tar.gz",'21,'93.84765625
'2,'Text 11,"'VS Code",'22,'95.45898438
'2,'Text 12,"'Visual Studio",'23,'95.89843750
